airport_code,city,coordinate,country,image_url,airport_name,icao,time_zone,city_code,country_iso2
CEB,Cebu,10.3591887:123.8634544,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Osme%C3%B1a_Peak%2C_Cebu%2C_Philippines.jpg/800px-Osme%C3%B1a_Peak%2C_Cebu%2C_Philippines.jpg,Mactan-Cebu International Airport,RPVM,Asia/Manila,CEB,PH
CEC,Crescent City,41.7559481:-124.2017474,United States,,Del Norte County Regional Airport,KCEC,America/Los_Angeles,CEC,US
CED,Ceduna,-32.1267343:133.6737784,Australia,,Ceduna Airport,YCDU,Australia/Adelaide,CED,AU
CEE,Cherepovets,59.1298218:38.0013087,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80._%D0%A7%D0%B5%D1%80%D0%B5%D0%BF%D0%BE%D0%B2%D0%B5%D1%86.JPG/800px-%D0%9A%D0%B0%D0%BC%D0%B5%D1%80%D0%BD%D1%8B%D0%B9_%D1%82%D0%B5%D0%B0%D1%82%D1%80._%D0%A7%D0%B5%D1%80%D0%B5%D0%BF%D0%BE%D0%B2%D0%B5%D1%86.JPG,Cherepovets Airport,ULWC,Europe/Moscow,CEE,RU
CEF,Chicopee,42.1487043:-72.6078672,United States,,Westover ARB/Metropolitan,KCEF,America/New_York,CEF,US
CEG,Chester,53.1914576:-2.8950072,United Kingdom,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Chester_-_Shops_in_city_centre_-_2005-10-09.jpg/800px-Chester_-_Shops_in_city_centre_-_2005-10-09.jpg,Hawarden Airport,EGNR,Europe/London,CEG,GB
CEH,Chelinda,-10.58:33.8,Malawi,,Chelinda,FWCD,Africa/Blantyre,CEH,MW
CEI,Chiang Rai,19.8737421:99.7232673,Thailand,,Chiang Rai International Airport,VTCT,Asia/Bangkok,CEI,TH
CEJ,Chernigov,51.4982:31.28935,Ukraine,,,,,,
CEK,Chelyabinsk,55.1598893:61.4025803,Russia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/%D0%A4%D0%BE%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F_%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B0_%D1%81_%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%282021%29.jpg/800px-%D0%A4%D0%BE%D1%82%D0%BE%D0%B3%D1%80%D0%B0%D1%84%D0%B8%D1%8F_%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA%D0%B0_%D1%81_%D0%BE%D1%82%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%282021%29.jpg,Chelyabinsk International Airport,USCC,Asia/Yekaterinburg,CEK,RU
CEL,Cape Eleuthera,24.96:-76.45,Bahamas,,Cape Eleuthera,,America/Nassau,CEL,BS
CEM,Central,65.5725:-144.8030556,United States,,Central,PACE,America/Anchorage,CEM,US
CEN,Ciudad Obregon,27.4921987:-109.9407056,Mexico,,Ciudad Obregon Airport,MMCN,America/Hermosillo,CEN,MX
CEO,Waco Kungo,-11.43:15.1,Angola,,Waco Kungo,FNWK,Africa/Luanda,CEO,AO
CEP,Concepcion,-16.1319444:-62.0261111,Bolivia,,Concepcion,SLCP,America/La_Paz,CEP,BO
CEQ,Cannes,43.552847:7.017369,France,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Cannes_from_Suquet_Tower_03.jpg/800px-Cannes_from_Suquet_Tower_03.jpg,Mandelieu,LFMD,Europe/Paris,CEQ,FR
CER,Cherbourg,49.639093:-1.625298,France,,Maupertus,LFRC,Europe/Paris,CER,FR
CES,Cessnock,-32.8345782:151.3564619,Australia,,Cessnock,YCNK,Australia/Sydney,CES,AU
CET,Cholet,47.059407:-0.879787,France,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Cholet.jpg/960px-Cholet.jpg,Le Pontreau,LFOU,Europe/Paris,CET,FR
CEU,Clemson,34.6834382:-82.8373654,United States,,Oconee County,KCEU,America/New_York,CEU,US
CEV,Connersville,39.6411589:-85.1410748,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Central_Avenue%2C_Connersville%2C_IN_%2848483882377%29.jpg/800px-Central_Avenue%2C_Connersville%2C_IN_%2848483882377%29.jpg,Mettle Field,KCEV,America/Indiana/Indianapolis,CEV,US
CEW,Crestview,30.7621326:-86.5705084,United States,,Bob Sikes,KCEW,America/Chicago,CEW,US
CEX,Chena Hot Springs,65.051826:-146.047424,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Chena_Hot_Springs%2C_Alaska_ENBLA15.jpg/800px-Chena_Hot_Springs%2C_Alaska_ENBLA15.jpg,Chena Hot Springs,AK13,America/Anchorage,CEX,US
CEY,Murray,36.6103334:-88.314761,United States,,Calloway County,KCEY,America/Chicago,CEY,US
CEZ,Cortez,37.3488827:-108.5859265,United States,,Montezuma County Airport,KCEZ,America/Denver,CEZ,US
CFA,Coffee Point,58.23:-157.5,United States,,Coffee Point,,America/Anchorage,CFA,US
CFB,Cabo Frio,-22.8786833:-42.0198757,Brazil,,Cabo Frio International Airport,SBCB,America/Sao_Paulo,CFB,BR
CFC,Cacador,-26.7756812:-51.0155139,Brazil,,Cacador,SBCD,America/Sao_Paulo,CFC,BR
CFD,Bryan,30.6743643:-96.3699632,United States,,Coulter Field,KCFD,America/Chicago,CFD,US
CFE,Clermont-Ferrand,45.777222:3.087025,France,,Clermont-Ferrand Auvergne Airport,LFLC,Europe/Paris,CFE,FR
CFF,Cafunfo,-8.7839753:17.9896832,Angola,,Cafunfo,FNCF,Africa/Luanda,CFF,AO
CFG,Cienfuegos,22.149969:-80.44368,Cuba,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Cuba_20160320_4849_Cienfuegos_sRGB.jpg/800px-Cuba_20160320_4849_Cienfuegos_sRGB.jpg,Jaime Gonzalez Airport,MUCF,America/Havana,CFG,CU
CFH,Clifton Hills,-27.02:138.89,Australia,,Clifton Hills,YCFH,Australia/Adelaide,CFH,AU
CFI,Camfield,-17.02:131.33,Australia,,Camfield,YCFD,Australia/Darwin,CFI,AU
CFK,Chefornak,60.16:-164.2658333,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Chefornak_%289703826823%29.jpg/800px-Chefornak_%289703826823%29.jpg,Chlef International Airport,DAOI,Africa/Algiers,CFK,DZ
CFN,Carrickfinn,55.0429576:-8.3379876,Ireland,,Donegal Airport,EIDL,Europe/Dublin,CFN,IE
CFO,Confreza,-10.633333:-51.566667,Brazil,,Confreza,SJHG,America/Cuiaba,CFO,BR
CFP,Carpentaria Downs,-18.783333:144.35,Australia,,Carpentaria Downs,YCPN,Australia/Brisbane,CFP,AU
CFQ,Creston,49.04:-116.5,Canada,,Creston Valley Airport,CAJ3,America/Creston,CFQ,CA
CFR,Caen,49.182863:-0.370679,France,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Mairie_de_Caen_7.JPG/800px-Mairie_de_Caen_7.JPG,Carpiquet Airport,LFRK,Europe/Paris,CFR,FR
CFS,Coffs Harbour,-30.2963121:153.1156722,Australia,,Coffs Harbour Airport,YCFS,Australia/Sydney,CFS,AU
CFT,Clifton,33.0508966:-109.2961826,United States,,Morenci,KCFT,America/Phoenix,CFT,US
CFU,Kerkyra,39.6118388:19.8306051,Greece,,Ioannis Kapodistrias Airport,LGKR,Europe/Athens,CFU,GR
CFV,Coffeyville,37.0373005:-95.6163665,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Welcome_Sign_Sunrise.jpg/800px-Welcome_Sign_Sunrise.jpg,Municipal,KCFV,America/Chicago,CFV,US
CGA,Craig,55.4763889:-133.1483333,United States,,Craig SPB,CGA,America/Sitka,CGA,US
CGB,Cuiaba,-15.5989173:-56.094894,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Cuiab%C3%A1_center.jpg/800px-Cuiab%C3%A1_center.jpg,Marechal Rondon International Airport,SBCY,America/Cuiaba,CGB,BR
CGC,Cape Gloucester,-5.45:148.42,Papua New Guinea,,Cape Gloucester,AYCG,Pacific/Port_Moresby,CGC,PG
CGD,Changde,29.031673:111.698497,China,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/%E5%B8%B8%E5%BE%B7_20240223.jpg/800px-%E5%B8%B8%E5%BE%B7_20240223.jpg,Changde Airport,ZGCD,Asia/Shanghai,CGD,CN
CGE,Cambridge,38.5631744:-76.0788292,United States,,Cambridge,KCGE,America/New_York,CGE,US
CGG,Casiguran,,Philippines,,Casiguran,,Asia/Manila,CGG,PH
CGI,Cape Girardeau,37.3058839:-89.5181476,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Cape_Girardeau_dec29-07_%2823%29.jpg/960px-Cape_Girardeau_dec29-07_%2823%29.jpg,Cape Girardeau Airport,KCGI,America/Chicago,CGI,US
CGJ,Chingola,-12.54323:27.85766,Zambia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Zambia_3.JPG/960px-Zambia_3.JPG,Chingola,FLKE,Africa/Lusaka,CGJ,ZM
CGM,Camiguin,9.1732164:124.7298765,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Timpoong_and_Hibok-Hibok_Natural_Monument_in_Camiguin_-_Allan_Jay_Quesada.jpg/800px-Timpoong_and_Hibok-Hibok_Natural_Monument_in_Camiguin_-_Allan_Jay_Quesada.jpg,Mambajao,RPMH,Asia/Manila,CGM,PH
CGN,Cologne,50.9406645:6.9599115,Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Kranh%C3%A4user_Cologne%2C_April_2018_-01.jpg/800px-Kranh%C3%A4user_Cologne%2C_April_2018_-01.jpg,Cologne Bonn Airport,EDDK,Europe/Berlin,CGN,DE
CGO,Zhengzhou,34.746985:113.624899,China,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/20220812_Central_Business_District_of_Zhengdong_New_Area.jpg/800px-20220812_Central_Business_District_of_Zhengdong_New_Area.jpg,Zhengzhou Xinzheng Airport,ZHCC,Asia/Shanghai,CGO,CN
CGP,Chittagong,22.3666667:91.8,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Bayazid_Bostami_Road%2C_Chittagong.jpg/960px-Bayazid_Bostami_Road%2C_Chittagong.jpg,Shah Amanat International Airport,VGEG,Asia/Dhaka,CGP,BD
CGQ,Changchun,43.817084:125.323542,China,,Changchun Longjia International Airport,ZYCC,Asia/Shanghai,CGQ,CN
CGR,Campo Grande,-20.4435053:-54.6477591,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/VA_Avenida_Afonso_Pena.jpg/960px-VA_Avenida_Afonso_Pena.jpg,Campo Grande International Airport,SBCG,America/Campo_Grande,CGR,BR
CGS,College Park,38.980666:-76.9369189,United States,,College Park,KCGS,America/New_York,CGS,US
CGT,Chinguitti,20.4615121:-12.3664341,Mauritania,,Chinguitti,,Africa/Nouakchott,CGT,MR
CGU,Ciudad Guayana,8.372155:-62.64386,Venezuela,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panor%C3%A1mica_a%C3%A9rea_de_ciudad_Guayana.jpg/800px-Panor%C3%A1mica_a%C3%A9rea_de_ciudad_Guayana.jpg,,,,,
CGV,Caiguna,-32.2705514:125.4868709,Australia,,Caiguna,YCAG,Australia/Eucla,CGV,AU
CGY,Cagayan De Oro,8.4833333:124.65,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/CDO_CM_Recto-Corrales_skyline_alt_%28Cagayan_De_Oro_City%3B_12-08-2023%29.jpg/800px-CDO_CM_Recto-Corrales_skyline_alt_%28Cagayan_De_Oro_City%3B_12-08-2023%29.jpg,Laguindingan International Airport,RPMY,Asia/Manila,CGY,PH
CGZ,Casa Grande,32.8795022:-111.7573521,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Casa_Grande-Casa_Grande_Union_High_School-1920-2.jpg/960px-Casa_Grande-Casa_Grande_Union_High_School-1920-2.jpg,Municipal,KCGZ,America/Phoenix,CGZ,US
CHA,Chattanooga,35.0456297:-85.3096801,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Chattanooga%2C_Tennessee_%282023%29.jpg/800px-Chattanooga%2C_Tennessee_%282023%29.jpg,Chattanooga Airport,KCHA,America/New_York,CHA,US
CHB,Chilas,35.4271456:74.0862796,Pakistan,,Chilas,OPCL,Asia/Karachi,CHB,PK
CHC,Christchurch,-43.5320544:172.6362254,New Zealand,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Panorama_of_northern_parts_of_Christchurch_Central_City%2C_New_Zealand.jpg/800px-Panorama_of_northern_parts_of_Christchurch_Central_City%2C_New_Zealand.jpg,Christchurch International Airport,NZCH,Pacific/Auckland,CHC,NZ
CHE,Caherciveen,51.9477635:-10.224143,Ireland,,,,,,
CHF,Jinhae,35.1330308:128.7100167,South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jinhae_City_20090405.JPG/800px-Jinhae_City_20090405.JPG,Jinhae,RKPE,Asia/Seoul,CHF,KR
CHG,Chaoyang,,China,,Chaoyang Airport,ZYCY,Asia/Shanghai,CHG,CN
CHH,Chachapoyas,-6.2166667:-77.85,Peru,,Chachapoyas,SPPY,America/Lima,CHH,PE
ORD,Chicago,41.8781136:-87.6297982,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Chicago_Skyline_in_September_2023_%28cropped%29.jpg/960px-Chicago_Skyline_in_September_2023_%28cropped%29.jpg,O'Hare International Airport,KORD,America/Chicago,CHI,US
CHJ,Chipinge,-20.21:32.63,Zimbabwe,,Chipinge,FVCH,Africa/Harare,CHJ,ZW
CHK,Chickasha,35.052565:-97.9364326,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Rock_Island_Chickasha.jpg/800px-Rock_Island_Chickasha.jpg,Municipal,KCHK,America/Chicago,CHK,US
CHL,Challis,44.5046445:-114.2317308,United States,,Challis,KLLJ,America/Boise,CHL,US
CHM,Chimbote,-9.0745444:-78.5935722,Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Plaza_de_armas_de_Chimbote_01.jpg/960px-Plaza_de_armas_de_Chimbote_01.jpg,Chimbote,SPEO,America/Lima,CHM,PE
CHN,Jeonju,35.8242238:127.1479532,South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Jeonju_Hanok_Maeul_01.jpg/800px-Jeonju_Hanok_Maeul_01.jpg,Jeonju,RKJU,Asia/Seoul,CHN,KR
CHO,Charlottesville,38.14:-78.45,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Charlottesville_Downtown_Mall.jpg/800px-Charlottesville_Downtown_Mall.jpg,Charlottesville Albemarle Airport,KCHO,America/New_York,CHO,US
CHP,Circle Hot Springs,65.489182:-144.622299,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Alaska_-_Circle_Hot_Springs_-_NARA_-_23937599.jpg/960px-Alaska_-_Circle_Hot_Springs_-_NARA_-_23937599.jpg,Circle Hot Springs,CHP,America/Anchorage,CHP,US
CHQ,Chania,35.516236:24.018807,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Aerial_view_of_the_Old_Venetian_Harbour_in_Chania%2C_Greece.jpg/800px-Aerial_view_of_the_Old_Venetian_Harbour_in_Chania%2C_Greece.jpg,Chania International Airport,LGSA,Europe/Athens,CHQ,GR
CHR,Chateauroux,46.86:1.72,France,,Chateauroux,LFLX,Europe/Paris,CHR,FR
CHT,Chatham Island,-44.0057523:-176.5400674,New Zealand,,Karewa,NZCI,Pacific/Chatham,CHT,NZ
CHU,Chuathbaluk,61.5719444:-159.245,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/St._Sergius_Chapel%2C_Chuathbaluk%2C_Alaska.jpg/800px-St._Sergius_Chapel%2C_Chuathbaluk%2C_Alaska.jpg,Chuathbaluk Airport,PACH,America/Anchorage,CHU,US
CHV,Chaves,41.7413961:-7.4719681,Portugal,,Chaves,LPCH,Europe/Lisbon,CHV,PT
CHW,Jiuquan,39.732488:98.494411,China,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/%E9%BC%93%E6%A5%BC.jpg/800px-%E9%BC%93%E6%A5%BC.jpg,Jiuhuang,,Asia/Shanghai,CHW,CN
CHX,Changuinola,9.46:-82.52,Panama,,Changuinola,MPCH,America/Panama,CHX,PA
CHY,Choiseul Bay,-6.71:156.4,Solomon Islands,,Choiseul Bay Airport,AGGC,Pacific/Guadalcanal,CHY,SB
CHZ,Chiloquin,42.5776364:-121.8661258,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Chiloquin%2C_Oregon.jpg/800px-Chiloquin%2C_Oregon.jpg,State,K2S7,America/Los_Angeles,CHZ,US
CIC,Chico,39.7284944:-121.8374777,United States,,Chico Municipal Airport,KCIC,America/Los_Angeles,CIC,US
CID,Cedar Rapids,41.9625013:-91.6918465,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Cedar_Rapids_Skyline_%282022%29.jpg/799px-Cedar_Rapids_Skyline_%282022%29.jpg,The Eastern Iowa Airport,KCID,America/Chicago,CID,US
CIE,Collie,-33.3588705:116.1540412,Australia,,Collie,YCOI,Australia/Perth,CIE,AU
CIF,Chifeng,42.257817:118.886856,China,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/%E8%B5%A4%E5%B3%B0%E7%81%AB%E8%BD%A6%E7%AB%99.JPG/800px-%E8%B5%A4%E5%B3%B0%E7%81%AB%E8%BD%A6%E7%AB%99.JPG,Chifeng Airport,ZBCF,Asia/Shanghai,CIF,CN
CIG,Craig,40.5152491:-107.5464541,United States,,Craig-Moffat,KCAG,America/Denver,CIG,US
CIH,Changzhi,36.195386:113.116255,China,,Changzhi Airport,ZBCZ,Asia/Shanghai,CIH,CN
CIJ,Cobija,-11.04:-68.78,Bolivia,,E. Beltram Airport,SLCO,America/La_Paz,CIJ,BO
CIK,Chalkyitsik,66.6544444:-143.7222222,United States,,Chalkyitsik,PACI,America/Anchorage,CIK,US
CIL,Council,64.8961919:-163.6848955,United States,,Melsing Creek,K29,America/Nome,CIL,US
CIM,Cimitarra,6.317479:-73.952057,Colombia,,Cimitarra,SKCM,America/Bogota,CIM,CO
CIN,Carroll,42.0694444:-94.8663889,United States,,Carroll,KCIN,America/Chicago,CIN,US
CIO,Concepcion,4.07:-73.73,Paraguay,,MCAL Lopez,SGCO,America/Asuncion,CIO,PY
CIP,Chipata,-13.63237:32.64547,Zambia,,Chipata,FLCP,Africa/Lusaka,CIP,ZM
CIQ,Chiquimula,14.7514999:-89.4742177,Guatemala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chiquimula.png/715px-Chiquimula.png,Chiquimula,MGCQ,America/Guatemala,CIQ,GT
CIR,Cairo,37.0053293:-89.1764608,United States,,Cairo,KCIR,America/Chicago,CIR,US
CIS,Canton Island,-2.8178156:-171.6802054,Kiribati,,Canton Island,PCIS,Pacific/Enderbury,CIS,KI
CIT,Shimkent,42.3166667:69.5958333,Kazakhstan,,Shymkent Airport,UAII,Asia/Almaty,CIT,KZ
CIV,Chomley,55.216667:-132.216667,United States,,Chomley,,America/Sitka,CIV,US
CIW,Canouan Island,12.7254927:-61.3239372,Saint Vincent and the Grenadines,,Canouan Island,TVSC,America/St_Vincent,CIW,VC
CIX,Chiclayo,-6.762994:-79.836609,Peru,,Cornel Ruiz Airport,SPHI,America/Lima,CIX,PE
CIY,Comiso,36.93:14.6,Italy,,Comiso Airport,LICB,Europe/Rome,CIY,IT
CIZ,Coari,-4.0848815:-63.1417092,Brazil,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Igreja_Matriz_de_Coari%2C_Amazonas.jpeg/800px-Igreja_Matriz_de_Coari%2C_Amazonas.jpeg,Coari,SWKO,America/Manaus,CIZ,BR
CJA,Cajamarca,-7.162099:-78.510628,Peru,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/San_Francisco_de_Asis_in_Cajamarca.jpg/960px-San_Francisco_de_Asis_in_Cajamarca.jpg,Cajamarca Airport,SPJR,America/Lima,CJA,PE
CJB,Coimbatore,11.0168445:76.9558321,India,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/CHIL_SEZ.jpg/800px-CHIL_SEZ.jpg,Coimbatore International Airport,VOCB,Asia/Kolkata,CJB,IN
CJC,Calama,-22.452761:-68.924652,Chile,,El Loa Airport,SCCF,America/Santiago,CJC,CL
CJD,Candilejas,1.33:-74.27,Colombia,,Candilejas,,America/Bogota,CJD,CO
CJH,Chilko Lake,51.3609288:-124.127089,Canada,,Chilko Lake,CAG3,America/Vancouver,CJH,CA
CJJ,Cheongju,,South Korea,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Cheongju_Sangdangsangseong.jpg/800px-Cheongju_Sangdangsangseong.jpg,Cheongju Airport,RKTU,Asia/Seoul,CJJ,KR
CJL,Chitral,35.89:71.8,Pakistan,,Chitral,OPCH,Asia/Karachi,CJL,PK
CJM,Chumphon,10.5780131:99.1013498,Thailand,,Chumphon Airport,VTSE,Asia/Bangkok,CJM,TH
CJN,El Cajon,32.7947731:-116.9625269,United States,,Gillespie Field,WICN,America/Los_Angeles,CJN,US
CJS,Ciudad Juarez,31.7311292:-106.4625624,Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Ciudad_Ju%C3%A1rez%2C_skyline.jpg/960px-Ciudad_Ju%C3%A1rez%2C_skyline.jpg,Abraham Gonzalez International Airport,MMCS,America/Ojinaga,CJS,MX
CJT,Comitan,16.2436147:-92.1235424,Mexico,,Copalar,MMCO,America/Mexico_City,CJT,MX
CJU,Jeju,33.4996213:126.5311884,South Korea,,Jeju International Airport,RKPC,Asia/Seoul,CJU,KR
CKA,Cherokee,36.7544746:-98.3567403,United States,,Kegelman Af,KCKA,America/Chicago,CKA,US
CKB,Clarksburg,39.2806451:-80.3445341,United States,,Benedum Airport,KCKB,America/New_York,CKB,US
CKC,Cherkassy,49.444433:32.059767,Ukraine,,Cherkassy,UKKE,Europe/Kiev,CKC,UA
CKD,Crooked Creek,61.87:-158.1108333,United States,,Crooked Creek,CJX,America/Anchorage,CKD,US
CKE,Clear Lake,39.0581905:-122.831015,United States,,Clear Lake,1O2,America/Los_Angeles,CKE,US
CKG,Chongqing,29.56301:106.551557,China,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Chongqing_Nightscape.jpg/800px-Chongqing_Nightscape.jpg,Chongqing Jiangbei International Airport,ZUCK,Asia/Shanghai,CKG,CN
CKH,Chokurdah,70.62:147.9,Russia,,Chokurdah Airport,UESO,Asia/Srednekolymsk,CKH,RU
CKI,Croker Island,-11.1764219:132.5313457,Australia,,Croker Island,YCKI,Australia/Darwin,CKI,AU
CKK,Cherokee,36.75:-98.12,United States,,Cherokee,KCVK,America/Chicago,CKK,US
CKL,Chkalovsky,51.75:55.38,Russia,,Chkalovsky,UUMU,Europe/Moscow,CKL,RU
CKM,Clarksdale,34.2001086:-90.5709323,United States,,Fletcher Field,KCKM,America/Chicago,CKM,US
CKN,Crookston,47.7741667:-96.6080556,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Crookston_Commercial_Historic_District.jpg/757px-Crookston_Commercial_Historic_District.jpg,Municipal,KCKN,America/Chicago,CKN,US
CKO,Cornelio Procopio,-23.1812912:-50.6479834,Brazil,,Cornelio Procopio,SSCP,America/Sao_Paulo,CKO,BR
CKR,Crane Island,48.6:-123.0,United States,,Crane Island,,America/Los_Angeles,CKR,US
CKS,Carajas,-6.12:-50.0,Brazil,,Carajas Airport,SBCJ,America/Belem,CKS,BR
CKT,Sarakhs,35.99:51.31,Iran,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87_%D8%A8%D8%A7%D8%A8%D8%A7_%D9%84%D9%82%D9%85%D8%A7%D9%86.jpg/960px-%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87_%D8%A8%D8%A7%D8%A8%D8%A7_%D9%84%D9%82%D9%85%D8%A7%D9%86.jpg,Sarakhs,OIMC,Asia/Tehran,CKT,IR
CKV,Clarksville,36.5297706:-87.3594528,United States,,Outlaw Field,KCKV,America/Chicago,CKV,US
CKX,Chicken,64.0669843:-141.9504024,United States,,Chicken,CKX,America/Anchorage,CKX,US
CKY,Conakry,9.537029:-13.67847,Guinea,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Un_aper%C3%A7u_de_la_ville_de_conakry.jpg/800px-Un_aper%C3%A7u_de_la_ville_de_conakry.jpg,Conakry Airport,GUCY,Africa/Conakry,CKY,GN
CKZ,Canakkale,40.155312:26.41416,Turkey,,Canakkale Airport,LTBH,Europe/Istanbul,CKZ,TR
CLA,Comilla,23.455959:91.182037,Bangladesh,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Cumilla_City_Night.jpg/960px-Cumilla_City_Night.jpg,Comilla,VGCM,Asia/Dhaka,CLA,BD
CLB,Castlebar,53.8541584:-9.3017379,Ireland,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/The_Mall_Castlebar.jpg/800px-The_Mall_Castlebar.jpg,,,,,
CLC,Clearlake,29.585736:-95.1327829,United States,,Metroport,,America/Chicago,CLC,US
CLD,Carlsbad,33.1580933:-117.3505939,United States,,McClellan-Palomar Airport,KCRQ,America/Los_Angeles,SAN,US
CLE,Cleveland,41.4994954:-81.6954088,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/CLE_script_sign.png/960px-CLE_script_sign.png,Cleveland Hopkins International Airport,KCLE,America/New_York,CLE,US
CLG,Coalinga,36.139678:-120.3601496,United States,,Coalinga,,America/Los_Angeles,CLG,US
CLH,Coolah,-31.8241308:149.7197589,Australia,,Coolah,YCAH,Australia/Sydney,CLH,AU
CLI,Clintonville,44.6205349:-88.7623228,United States,,Clintonville,KCLI,America/Chicago,CLI,US
CLJ,Cluj-Napoca,46.777248:23.59989,Romania,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Romania-2382_-_View_from_Hotel_%287794313314%29.jpg/800px-Romania-2382_-_View_from_Hotel_%287794313314%29.jpg,Avram Iancu Cluj International Airport,LRCL,Europe/Bucharest,CLJ,RO
CLK,Clinton,35.5156056:-98.9673069,United States,,Municipal,KCLK,America/Chicago,CSM,US
CLL,College Station,30.627977:-96.3344068,United States,,Easterwood Airport,KCLL,America/Chicago,CLL,US
CLM,Port Angeles,48.118146:-123.4307413,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Port_Angeles_S.jpg/960px-Port_Angeles_S.jpg,Fairchild International,KCLM,America/Los_Angeles,CLM,US
CLN,Carolina,-7.336618:-47.4626199,Brazil,,Carolina,SBCI,America/Fortaleza,CLN,BR
CLO,Cali,3.4205556:-76.5222222,Colombia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Santiago_de_Cali.jpg/800px-Santiago_de_Cali.jpg,Alfonso B. Aragon Airport,SKCL,America/Bogota,CLO,CO
CLP,Clarks Point,58.845722:-158.515717,United States,,Clarks Point,PFCL,America/Anchorage,CLP,US
CLQ,Colima,19.2433333:-103.7247222,Mexico,,Colima Airport,MMIA,America/Mexico_City,CLQ,MX
